sample_id,time,anomaly,anomaly_type,data_modality,flow,volume,pressure
17,4.679726387,0,normal,,1.326762246,105.6525789,9.498866285
17,4.841328977,0,normal,,1.326762246,83.97318838,9.498866285
17,5.02720917,0,normal,,1.326762246,70.61199905,9.498866285
17,5.043010753,0,normal,,1.326762246,69.47617103,9.473954045
17,5.043973494,0,normal,,1.326615161,69.40696858,9.47243622
17,5.190086288,0,normal,,1.304292373,53.7120854,9.242079738
17,5.215053763,0,normal,,1.300477897,51.03017376,9.274955289
17,5.246251565,0,normal,,2.359556601,47.67902403,9.31603453
17,5.322580645,0,normal,,4.950716846,47.58791049,9.41653971
17,5.374126094,0,normal,,2.013342151,47.52638101,9.484411413
17,5.387096774,0,normal,,1.274193548,47.51089799,9.483870968
17,5.408953492,0,normal,,1.270854328,47.48480777,9.482960271
17,5.494623656,0,normal,,1.25776583,42.33911452,9.479390681
17,5.530613491,0,normal,,1.507945172,40.17742083,9.477891105
17,5.619008629,0,normal,,2.122414149,36.17195381,9.474207974
17,5.623655914,0,normal,,2.154719235,35.96137042,9.474014337
17,5.692948972,0,normal,,2.144132796,32.82147983,9.471127126
17,5.709677419,0,normal,,2.141577061,31.32206977,9.470430108
17,5.782263652,0,normal,,3.677481577,24.81599496,9.467405681
17,5.795698925,0,normal,,3.96176822,23.61175984,9.383780525
17,5.854918008,0,normal,,4.313322776,18.30381409,9.015183241
17,5.863135353,0,normal,,4.362105112,17.32356672,8.964036027
17,5.945518675,0,normal,,4.851174355,7.49605778,9.460603389
17,5.946236559,0,normal,,4.855436081,7.410421336,9.456135062
17,5.976211561,0,normal,,4.212014332,3.834702415,9.269561683
17,6.026390376,0,normal,,3.134912137,1.243856908,8.957233734
17,6.075268817,0,normal,,2.08572282,-1.279847381,9.25184966
17,6.108773698,0,normal,,2.080604018,-3.009780023,9.453801096
17,6.118209302,0,normal,,2.079162468,-3.496961554,9.424375178
17,6.190023304,0,normal,,2.068190884,-5.530777961,9.200415696
17,6.204301075,0,normal,,2.066009558,-5.935133159,9.199820789
17,6.290322581,0,normal,,2.052867384,-8.371314723,9.196236559
17,6.292057694,0,normal,,2.064928828,-8.420454179,9.196164263
17,6.37406311,0,normal,,2.63498037,-10.74289766,9.44274737
17,6.382233487,0,normal,,2.691775837,-10.97428772,9.402070783
17,6.419354839,0,normal,,2.949820789,-11.01859924,9.217260472
17,6.475341689,0,normal,,2.941267242,-11.08543039,8.93852743
17,6.524597673,0,normal,,2.933742022,-11.14422695,9.382843393
17,6.52688172,0,normal,,2.93339307,-11.23650521,9.403446752
17,6.558102916,0,normal,,3.5940249,-12.4978791,9.685079045
17,6.569892473,0,normal,,3.84348865,-12.97419139,9.596955419
17,6.591397849,0,normal,,2.006869773,-13.84303448,9.436208771
17,6.65900359,0,normal,,2.476823567,-16.57438777,8.93087485
17,6.707270895,0,normal,,2.812348375,-18.52444499,9.046689666
17,6.720430108,0,normal,,2.903823178,-19.8710512,9.078264492
17,6.761415885,0,normal,,3.115938806,-24.06520053,9.176607671
17,6.843043396,0,normal,,3.53838952,-32.41829268,9.173206525
17,6.84890219,0,normal,,3.568710811,-33.01783369,9.172962409
17,6.892473118,0,normal,,3.794205496,-35.26749913,9.171146953
17,6.965484663,0,normal,,3.338462796,-39.03725007,9.168104806
17,6.99089993,0,normal,,3.179819089,-40.34949766,9.167045836
17,7.043010753,0,normal,,2.854540024,-36.75459933,9.164874552
17,7.047112175,0,normal,,2.883050604,-36.47166011,9.164703659
17,7.09295508,0,normal,,3.201722465,-33.30915809,9.162793538
