sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
5,4.492072015,1,Double trigger,paw_flow,,,10.41994876
5,4.501926776,1,Double trigger,paw_flow,,,15.69177025
5,4.507058048,1,Double trigger,paw_flow,,,17.60916697
5,4.508561109,1,Double trigger,paw_flow,,41.47952627,
5,4.538012711,1,Double trigger,paw_flow,,51.94977946,
5,4.636563203,1,Double trigger,paw_flow,,,21.23300054
5,4.675164102,1,Double trigger,paw_flow,,58.07835238,
5,4.749519156,1,Double trigger,paw_flow,,,23.17622352
5,4.794602855,1,Double trigger,paw_flow,,58.97127774,
5,4.822546334,1,Double trigger,paw_flow,,,25.8284456
5,4.884427438,1,Double trigger,paw_flow,,,27.75943508
5,4.896155316,1,Double trigger,paw_flow,,58.98899038,
5,4.932002148,1,Double trigger,paw_flow,,,20.10615957
5,4.932865627,1,Double trigger,paw_flow,,37.19306776,
5,4.956197286,1,Double trigger,paw_flow,,,14.84249373
5,4.957906436,1,Double trigger,paw_flow,,8.418365575,
5,4.98963551,1,Double trigger,paw_flow,,,17.00619151
5,4.994026326,1,Double trigger,paw_flow,,1.44792137,
5,5.075779716,1,Double trigger,paw_flow,,,13.43401048
5,5.121179581,1,Double trigger,paw_flow,,,13.4448847
6,-0.00726035,1,Double trigger,paw_flow,,28.19269551,
6,0.031185031,1,Double trigger,paw_flow,,,15.69870118
6,0.087182287,1,Double trigger,paw_flow,,22.27731053,
6,0.145530146,1,Double trigger,paw_flow,,,15.4824179
6,0.245283676,1,Double trigger,paw_flow,,18.35253938,
6,0.25469309,1,Double trigger,paw_flow,,8.464290693,
6,0.263812091,1,Double trigger,paw_flow,,-3.896542912,
6,0.280665281,1,Double trigger,paw_flow,,,15.26591107
6,0.301455301,1,Double trigger,paw_flow,,,13.86783806
6,0.301455301,1,Double trigger,paw_flow,,,12.25493484
6,0.304644301,1,Double trigger,paw_flow,,-16.25110357,
6,0.311850312,1,Double trigger,paw_flow,,,10.42686607
6,0.395010395,1,Double trigger,paw_flow,,,9.565756824
6,0.43207797,1,Double trigger,paw_flow,,-11.28084197,
6,0.498960499,1,Double trigger,paw_flow,,,8.91947779
6,0.506017378,1,Double trigger,paw_flow,,-11.76072209,
6,0.56863064,1,Double trigger,paw_flow,,-18.67141397,
6,0.623700624,1,Double trigger,paw_flow,,,9.993405316
6,0.72696436,1,Double trigger,paw_flow,,-20.61811719,
6,0.79002079,1,Double trigger,paw_flow,,,9.991616927
6,0.906788718,1,Double trigger,paw_flow,,-19.59353655,
6,1.008316008,1,Double trigger,paw_flow,,,9.55916214
6,1.139875006,1,Double trigger,paw_flow,,-15.09688212,
6,1.195426195,1,Double trigger,paw_flow,,,9.234569557
6,1.392931393,1,Double trigger,paw_flow,,,9.017392082
6,1.499756052,1,Double trigger,paw_flow,,-11.0696529,
6,1.538461538,1,Double trigger,paw_flow,,,8.693246596
6,1.600831601,1,Double trigger,paw_flow,,,9.122683478
6,1.722097022,1,Double trigger,paw_flow,,-8.058640398,
6,1.735966736,1,Double trigger,paw_flow,,,8.691122885
6,1.933983086,1,Double trigger,paw_flow,,-4.060684912,
6,2.027027027,1,Double trigger,paw_flow,,,8.687993204
6,2.156033642,1,Double trigger,paw_flow,,-3.52225733,
6,2.293864133,1,Double trigger,paw_flow,,-0.033455694,
6,2.318087318,1,Double trigger,paw_flow,,,8.577336642
6,2.409913573,1,Double trigger,paw_flow,,-1.988522838,
6,2.453222453,1,Double trigger,paw_flow,,,8.683410458
6,2.516437433,1,Double trigger,paw_flow,,4.955624739,
6,2.538973561,1,Double trigger,paw_flow,,16.8282143,
6,2.550706287,1,Double trigger,paw_flow,,26.72064495,
6,2.567567568,1,Double trigger,paw_flow,,,8.144546532
6,2.572777752,1,Double trigger,paw_flow,,34.63709865,
6,2.588357588,1,Double trigger,paw_flow,,,10.07980685
6,2.609147609,1,Double trigger,paw_flow,,,13.09033599
6,2.661122661,1,Double trigger,paw_flow,,,15.24031476
6,2.679185447,1,Double trigger,paw_flow,,40.59221226,
6,2.754677755,1,Double trigger,paw_flow,,,14.5941475
6,2.805805957,1,Double trigger,paw_flow,,38.63923609,
6,2.848232848,1,Double trigger,paw_flow,,,15.23830282
6,3.024948025,1,Double trigger,paw_flow,,,15.23640266
6,3.100692347,1,Double trigger,paw_flow,,29.30196088,
6,3.17047817,1,Double trigger,paw_flow,,,15.44989158
6,3.253638254,1,Double trigger,paw_flow,,,15.66405115
6,3.28975187,1,Double trigger,paw_flow,,18.95474188,
6,3.38425259,1,Double trigger,paw_flow,,13.53387389,
6,3.392384183,1,Double trigger,paw_flow,,-7.233748432,
6,3.393603922,1,Double trigger,paw_flow,,3.15110822,
6,3.40956341,1,Double trigger,paw_flow,,,15.44732077
6,3.411783839,1,Double trigger,paw_flow,,-22.06507597,
6,3.412655081,1,Double trigger,paw_flow,,-14.64732122,
6,3.41995842,1,Double trigger,paw_flow,,,12.00634878
6,3.43035343,1,Double trigger,paw_flow,,,14.26430152
6,3.451143451,1,Double trigger,paw_flow,,,9.64042206
6,3.52887877,1,Double trigger,paw_flow,,-15.11883741,
6,3.596673597,1,Double trigger,paw_flow,,,9.63885722
6,3.686573579,1,Double trigger,paw_flow,,-22.50522745,
6,3.794178794,1,Double trigger,paw_flow,,,10.17436792
6,3.940395428,1,Double trigger,paw_flow,,-21.46600994,
6,4.215882162,1,Double trigger,paw_flow,,-15.97195762,
6,4.293139293,1,Double trigger,paw_flow,,,9.201260814
6,4.523256354,1,Double trigger,paw_flow,,-8.988081409,
6,4.594594595,1,Double trigger,paw_flow,,,8.767911832
6,4.777136285,1,Double trigger,paw_flow,,-7.454346917,
6,4.833679834,1,Double trigger,paw_flow,,,8.765341023
6,4.925247433,1,Double trigger,paw_flow,,-6.436039218,
6,5.242902281,1,Double trigger,paw_flow,,-1.92265694,
6,5.343035343,1,Double trigger,paw_flow,,,8.544810319
6,5.528321175,1,Double trigger,paw_flow,,-1.866200455,
6,5.644196366,1,Double trigger,paw_flow,,-5.304818549,
6,5.654885655,1,Double trigger,paw_flow,,,8.756510853
6,5.771455787,1,Double trigger,paw_flow,,-1.818107895,
6,5.904365904,1,Double trigger,paw_flow,,,8.431247625
6,5.993738674,1,Double trigger,paw_flow,,0.698387621,
6,6.015810139,1,Double trigger,paw_flow,,8.614841318,
6,6.027717114,1,Double trigger,paw_flow,,19.99082292,
6,6.04989605,1,Double trigger,paw_flow,,,9.935059129
6,6.050137075,1,Double trigger,paw_flow,,30.87437851,
6,6.06029106,1,Double trigger,paw_flow,,,8.42957101
6,6.070686071,1,Double trigger,paw_flow,,,12.30042698
6,6.091476091,1,Double trigger,paw_flow,,,13.69805289
6,6.122661123,1,Double trigger,paw_flow,,,14.77298639
6,6.164241164,1,Double trigger,paw_flow,,,15.20264682
6,6.198945216,1,Double trigger,paw_flow,,37.82689001,
6,6.247401247,1,Double trigger,paw_flow,,,14.66411821
6,6.372141372,1,Double trigger,paw_flow,,,15.09288445
6,6.399679383,1,Double trigger,paw_flow,,36.87758468,
6,6.465696466,1,Double trigger,paw_flow,,,15.41445912
6,6.559251559,1,Double trigger,paw_flow,,,15.30592627
6,6.578574416,1,Double trigger,paw_flow,,29.98989359,
6,6.704781705,1,Double trigger,paw_flow,,,15.19683455
6,6.704962595,1,Double trigger,paw_flow,,26.0588495,
6,6.714255843,1,Double trigger,paw_flow,,15.18156684,
6,6.723491009,1,Double trigger,paw_flow,,3.809767204,
6,6.725571726,1,Double trigger,paw_flow,,,12.61596584
6,6.735966736,1,Double trigger,paw_flow,,,10.6803702
6,6.756756757,1,Double trigger,paw_flow,,,8.852189659
6,6.764613633,1,Double trigger,paw_flow,,-6.07220854,
6,6.891756889,1,Double trigger,paw_flow,,-3.574531853,
6,6.891891892,1,Double trigger,paw_flow,,,8.528155948
6,6.977196692,1,Double trigger,paw_flow,,3.859950746,
6,7.058212058,1,Double trigger,paw_flow,,,8.418840677
6,7.093478463,1,Double trigger,paw_flow,,3.882951536,
6,7.105501603,1,Double trigger,paw_flow,,16.2479671,
6,7.106372845,1,Double trigger,paw_flow,,23.66572185,
6,7.11018711,1,Double trigger,paw_flow,,,8.955916214
6,7.117582826,1,Double trigger,paw_flow,,29.10749965,
6,7.130977131,1,Double trigger,paw_flow,,,10.67612277
6,7.130977131,1,Double trigger,paw_flow,,,12.71913353
6,7.162162162,1,Double trigger,paw_flow,,,14.33170143
6,7.201977139,1,Double trigger,paw_flow,,27.64067655,
6,7.203742204,1,Double trigger,paw_flow,,,16.48179197
6,7.232702941,1,Double trigger,paw_flow,,19.24016077,
6,7.274174063,1,Double trigger,paw_flow,,12.32528693,
6,7.328482328,1,Double trigger,paw_flow,,,16.48045067
6,7.34706798,1,Double trigger,paw_flow,,2.944101111,
6,7.397890433,1,Double trigger,paw_flow,,-14.3535384,
6,7.40944891,1,Double trigger,paw_flow,,-5.944658705,
6,7.417929,1,Double trigger,paw_flow,,-23.74517913,
6,7.427744993,1,Double trigger,paw_flow,,-30.17180893,
6,7.432432432,1,Double trigger,paw_flow,,,16.15675229
6,7.432432432,1,Double trigger,paw_flow,,,13.89868777
6,7.442827443,1,Double trigger,paw_flow,,,12.17814589
6,7.484407484,1,Double trigger,paw_flow,,,10.13468804
6,7.567567568,1,Double trigger,paw_flow,,,9.166051908
6,7.576030389,1,Double trigger,paw_flow,,-27.66995028,
6,7.671517672,1,Double trigger,paw_flow,,,9.379987928
6,7.788381116,1,Double trigger,paw_flow,,-19.71585893,
6,7.920997921,1,Double trigger,paw_flow,,,9.269778463
6,8.05329678,1,Double trigger,paw_flow,,-14.22389759,
6,8.222453222,1,Double trigger,paw_flow,,,8.836429482
6,8.40289717,1,Double trigger,paw_flow,,-7.726174434,
6,8.451143451,1,Double trigger,paw_flow,,,8.511389802
6,8.711018711,1,Double trigger,paw_flow,,,8.616122326
6,8.752207147,1,Double trigger,paw_flow,,-3.701036197,
6,8.974490033,1,Double trigger,paw_flow,,-1.184540681,
6,9.043659044,1,Double trigger,paw_flow,,,8.397491785
6,9.218031225,1,Double trigger,paw_flow,,2.325170763,
6,9.272349272,1,Double trigger,paw_flow,,,8.610086513
6,9.397913666,1,Double trigger,paw_flow,,3.844268389,
6,9.438669439,1,Double trigger,paw_flow,,,7.748083071
6,9.45187259,1,Double trigger,paw_flow,,13.25054598,
6,9.463721481,1,Double trigger,paw_flow,,24.13201059,
6,9.46985447,1,Double trigger,paw_flow,,,9.038070328
6,9.475279959,1,Double trigger,paw_flow,,32.54089029,
6,9.501039501,1,Double trigger,paw_flow,,,11.72590705
6,9.521829522,1,Double trigger,paw_flow,,,14.41385554
6,9.5291808,1,Double trigger,paw_flow,,41.4526509,
6,9.563409563,1,Double trigger,paw_flow,,,15.38115038
6,9.582326565,1,Double trigger,paw_flow,,43.93569072,
6,9.704010037,1,Double trigger,paw_flow,,-0.051229032,
6,9.708939709,1,Double trigger,paw_flow,,,8.390338229
6,9.873205241,1,Double trigger,paw_flow,,0.476743646,
6,9.968814969,1,Double trigger,paw_flow,,,8.28001699
6,10.05320385,1,Double trigger,paw_flow,,2.984875238,
7,0.06504065,1,double_trigger,flow_pressure,,-0.185714286,18.1871345
7,0.221138211,1,double_trigger,flow_pressure,,-0.1,17.25146199
7,0.403252033,1,double_trigger,flow_pressure,,-0.071428571,16.78362573
7,0.637398374,1,double_trigger,flow_pressure,,-0.028571429,16.31578947
7,0.871544715,1,double_trigger,flow_pressure,,-0.014285714,16.31578947
7,1.027642276,1,double_trigger,flow_pressure,,-0.014285714,16.31578947
7,1.118699187,1,double_trigger,flow_pressure,,0.957142857,16.31578947
